User,Driver,pickup,drop,cost,distance,date,time
user1,pradeepbhai,Ahmedabad,Kankariya,7243.35,361.92,2023-03-03,15:25:00
user1,Tanasha,"Kankariya,Ahmedabad","Iskcon Temple,Ahmedabad",214.27,10.46,2023-06-05,23:50:00
user1,pradeepbhai,"Science City, Ahmedabad","Iskcon Temple, Ahmedabad",117.4,5.62,2023-08-02,11:47:00
user1,Tanasha,"Jama Masjid, Ahmedabad","nirma university, Ahmedabad",252.4,12.37,2023-01-23,20:38:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","Nehru Bridge, Ahmedabad",143.6,6.93,2023-04-20,09:40:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Taj Skyline, ahmedabad",573.6,28.43,2023-03-08,08:00:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Taj Skyline, ahmedabad",260.2,12.76,2023-09-20,22:44:00
user1,pradeepbhai,"Science City, Ahmedabad","nirma university, Ahmedabad",156.2,7.56,2023-03-01,19:27:00
user1,pradeepbhai,"Taj Skyline, ahmedabad","Kankaria Lake, Ahmedabad",260.2,12.76,2023-09-14,05:25:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Iskcon Temple, Ahmedabad",39.0,1.7,2023-02-12,19:57:00
user1,Tanasha,"PrahladNagar Garden, Ahmedabad","Sarkhej Roza, Ahmedabad",51.6,2.33,2023-09-15,13:51:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Iskcon Temple, Ahmedabad",566.8,28.09,2023-09-20,10:43:00
user1,Tanasha,"Stanza, Ahmedabad","Nehru Bridge, Ahmedabad",243.8,11.94,2023-01-24,04:47:00
user1,Tanasha,"Manek Chowk, Ahmedabad","Law Garden, Ahmedabad",62.6,2.88,2023-10-27,13:57:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","shott, Ahmedabad",572.6,28.38,2023-01-06,06:06:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","Science City, Ahmedabad",185.2,9.01,2023-06-21,02:58:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","nirma university, Ahmedabad",238.0,11.65,2023-06-17,01:09:00
user1,Tanasha,"Kankaria Lake, Ahmedabad","Law Garden, Ahmedabad",95.8,4.54,2023-06-16,12:31:00
user1,pradeepbhai,"Manek Chowk, Ahmedabad","Iskcon Temple, Ahmedabad",173.6,8.43,2023-02-23,04:53:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","Vastrapur Lake, Ahmedabad",121.4,5.82,2023-07-16,21:11:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","Sarkhej Roza, Ahmedabad",221.4,10.82,2023-02-05,20:54:00
user1,Tanasha,"Taj Skyline, ahmedabad","nirma university, Ahmedabad",231.4,11.32,2023-02-08,02:28:00
user1,Tanasha,"lal darwaja, ahmedabad","Science City, Ahmedabad",213.8,10.44,2023-11-09,05:39:00
user1,Tanasha,"Sabarmati Ashram, Ahmedabad","LD, Ahmedabad",97.2,4.61,2023-01-08,09:15:00
user1,pradeepbhai,"Science City, Ahmedabad","LD, Ahmedabad",150.8,7.29,2023-02-01,21:50:00
user1,Tanasha,"Sabarmati Ashram, Ahmedabad","Taj Skyline, ahmedabad",210.2,10.26,2023-03-01,23:25:00
user1,pradeepbhai,"Sabarmati Ashram, Ahmedabad","courtyard marriott, Ahmedabad",162.8,7.89,2023-08-12,00:19:00
user1,Tanasha,"PrahladNagar Garden, Ahmedabad","Nehru Bridge, Ahmedabad",148.4,7.17,2023-05-17,11:08:00
user1,Tanasha,"Sarkhej Roza, Ahmedabad","Taj Skyline, ahmedabad",129.6,6.23,2023-06-16,08:42:00
user1,Tanasha,"Manek Chowk, Ahmedabad","Iskcon Temple, Ahmedabad",173.6,8.43,2023-10-25,17:45:00
user1,pradeepbhai,"Science City, Ahmedabad","PrahladNagar Garden, Ahmedabad",150.4,7.27,2023-04-05,11:07:00
user1,pradeepbhai,"Law Garden, Ahmedabad","Science City, Ahmedabad",182.4,8.87,2023-10-11,07:46:00
user1,Tanasha,"Vastrapur Lake, Ahmedabad","Kankaria Lake, Ahmedabad",166.4,8.07,2023-05-20,02:22:00
user1,pradeepbhai,"Law Garden, Ahmedabad","LD, Ahmedabad",37.6,1.63,2023-05-19,12:06:00
user1,Tanasha,"LD, Ahmedabad","Kankaria Lake, Ahmedabad",128.4,6.17,2023-11-07,20:27:00
user1,Tanasha,"Nehru Bridge, Ahmedabad","PrahladNagar Garden, Ahmedabad",148.4,7.17,2023-07-04,05:45:00
user1,pradeepbhai,"PrahladNagar Garden, Ahmedabad","Iskcon Temple, Ahmedabad",39.0,1.7,2023-04-07,20:57:00
user1,pradeepbhai,"Jama Masjid, Ahmedabad","Iskcon Temple, Ahmedabad",168.6,8.18,2023-06-01,06:02:00
user1,pradeepbhai,"nirma university, Ahmedabad","Jama Masjid, Ahmedabad",252.4,12.37,2023-04-14,20:26:00
user1,pradeepbhai,"Iskcon Temple, Ahmedabad","nirma university, Ahmedabad",239.6,11.73,2023-04-10,15:28:00
user1,pradeepbhai,"Vastrapur Lake, Ahmedabad","Iskcon Temple, Ahmedabad",55.4,2.52,2023-11-11,13:25:00
user1,pradeepbhai,"Akshardham Temple, Gandhinagar","Iskcon Temple, Ahmedabad",566.8,28.09,2023-07-04,22:19:00
user1,pradeepbhai,"Nehru Bridge, Ahmedabad","Sarkhej Roza, Ahmedabad",166.8,8.09,2023-04-18,05:52:00
user1,Tanasha,"Akshardham Temple, Gandhinagar","Nehru Bridge, Ahmedabad",497.8,24.64,2023-11-01,04:34:00
user1,pradeepbhai,"lal darwaja, ahmedabad","Taj Skyline, ahmedabad",207.8,10.14,2023-11-08,07:26:00
